Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Profit,Outlet_Type_LE,Fat_Low Fat,Fat_Regular,Outlet_Size_Ord,Outlet_Location_FreqEnc,Item_Fat_TargetEnc,Item_MRP_std,Sales_mm,Sales_log,Sales_exp,Years_Since_Establishment
9.0,Regular,0.069196376,Breakfast,54.4,1999,Medium,Tier 2,Supermarket Type1,718.3982,14.8,1,False,True,1.0,0.5879385193007157,2224.561170126414,-1.3910466373139732,0.05248393348974804,6.578415029173322,718.3981999999997,26
11.676739773604321,Low Fat,0.034237682,Hard Drinks,113.3,1985,Medium,Tier 2,Supermarket Type3,2303.668,14.4,3,True,False,1.0,0.5879385193007157,2157.711533985862,-0.4449294789731307,0.17392634907681323,7.742691910349596,2303.668000000001,40
13.35,Low Fat,0.10249212,Dairy,230.5,2004,Small,Tier1,Supermarket Type1,2748.4224,14.0,1,True,False,0.0,0.2801830341429074,2157.711533985862,1.4376669719190045,0.20799755176986637,7.919146132236254,2748.4224,21
18.85,Regular,0.138190277,Snack Foods,250.9,1987,High,Tier 3,Supermarket Type1,3775.086,14.6,1,False,True,2.0,0.10935116742930893,2224.561170126414,1.7653544087637105,0.2866469448128124,8.236443302429764,3775.0860000000007,38
11.676739773604321,Regular,0.035399923,Baking Goods,144.5,1985,Medium,Tier 2,Supermarket Type3,4064.0432,14.7,3,False,True,1.0,0.5879385193007157,2224.561170126414,0.05623954208347871,0.3087830256044068,8.310179649231715,4064.043200000003,40
14.6,Low Fat,0.025698134,Household,196.5,2004,Small,Tier1,Supermarket Type1,1587.2672,14.4,1,True,False,0.0,0.2801830341429074,2157.711533985862,0.8915212438444943,0.1190451902478833,7.37039888961736,1587.2672000000002,21
11.676739773604321,Low Fat,0.057556998,Baking Goods,107.7,1985,Small,Tier1,Grocery Store,214.3876,13.7,0,True,False,0.0,0.2801830341429074,2157.711533985862,-0.5348828930089322,0.013873304090584515,5.372439195748607,214.38760000000005,40
13.85,Regular,0.025896485,Frozen Foods,165.0,1997,Small,Tier1,Supermarket Type1,4078.025,14.3,1,False,True,0.0,0.2801830341429074,2224.561170126414,0.38553328989310987,0.30985412628787107,8.31361326825195,4078.024999999997,28
13.0,Low Fat,0.099887103,Household,45.9,2007,Medium,Tier 2,Supermarket Type1,838.908,14.3,1,True,False,1.0,0.5879385193007157,2157.711533985862,-1.5275830693326007,0.06171580128532082,6.733292362029665,838.9080000000002,18
7.645,Regular,0.066693437,Snack Foods,42.3,2004,Small,Tier1,Supermarket Type1,1065.28,13.3,1,False,True,0.0,0.2801830341429074,2224.561170126414,-1.585410264069902,0.07905743139855147,6.9719312344007,1065.2799999999995,21
11.65,Low Fat,0.019356132,Hard Drinks,39.1,1987,High,Tier 3,Supermarket Type1,308.9312,14.5,1,True,False,2.0,0.10935116742930893,2157.711533985862,-1.6368122149475028,0.021115984902580844,5.736350337363997,308.9312,38
5.925,Regular,0.161466534,Dairy,45.5,1998,Medium,Tier 2,Grocery Store,178.4344,14.0,0,False,True,1.0,0.5879385193007157,2224.561170126414,-1.534008313192301,0.011119045190247884,5.189809681521668,178.43440000000004,27
11.676739773604321,Regular,0.072221801,Canned,43.6,1985,Small,Tier1,Grocery Store,125.8362,10.8,0,False,True,0.0,0.2801830341429074,2224.561170126414,-1.5645282215258767,0.0070896664286442925,4.842896490217898,125.83620000000002,40
19.25,Low Fat,0.170348551,Dairy,55.8,1998,Medium,Tier 2,Grocery Store,163.7868,11.7,0,True,False,1.0,0.5879385193007157,2157.711533985862,-1.368558283805023,0.00999693971233296,5.10465251718005,163.7868,27
18.6,Low Fat,0.080829372,Health and Hygiene,96.4,2009,Medium,Tier 2,Supermarket Type2,2741.7644,13.4,2,True,False,1.0,0.5879385193007157,2157.711533985862,-0.7163960320454607,0.20748750382535958,7.916721595888904,2741.7644000000005,16
18.7,Low Fat,0.0,Snack Foods,256.7,2009,Medium,Tier 2,Supermarket Type2,3068.0064,14.3,2,True,False,1.0,0.5879385193007157,2157.711533985862,1.8585204447293622,0.23247985310619199,8.029109139987389,3068.0063999999993,16
17.85,Low Fat,0.0,Breads,93.1,2002,Medium,Tier 2,Supermarket Type1,2174.5028,11.7,1,True,False,1.0,0.5879385193007157,2157.711533985862,-0.7694042938879868,0.16403141895338164,7.685015089220353,2174.5028000000007,23
17.5,Low Fat,0.097904029,Soft Drinks,174.9,1997,Small,Tier1,Supermarket Type1,2085.2856,14.3,1,True,False,0.0,0.2801830341429074,2157.711533985862,0.5445580754206879,0.1571967764969907,7.6431405389407,2085.2855999999992,28
10.0,Low Fat,0.089291137,Health and Hygiene,146.7,1999,Medium,Tier 2,Supermarket Type1,3791.0652,14.0,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.09157838331182919,0.2878710598796287,8.240666057319922,3791.065199999998,26
0.0,Regular,0.059511812,Fruits and Vegetables,128.1,1985,Medium,Tier 2,Supermarket Type3,2797.6916,12.4,3,False,True,1.0,0.5879385193007157,2224.561170126414,-0.2071954561642263,0.21177190655921657,7.936907301237016,2797.691599999999,40
8.85,Regular,0.113123893,Soft Drinks,122.5,2009,Medium,Tier 2,Supermarket Type2,1609.9044,14.3,2,False,True,1.0,0.5879385193007157,2224.561170126414,-0.2971488702000279,0.12077935325920636,7.384551039392579,1609.9044000000001,16
0.0,Regular,0.123111453,Snack Foods,37.0,1985,Medium,Tier 2,Supermarket Type3,388.1614,14.3,3,False,True,1.0,0.5879385193007157,2224.561170126414,-1.6705447452109285,0.02718555544221157,5.96399416759279,388.1613999999999,40
0.0,Low Fat,0.026480954,Snack Foods,87.6,1985,Medium,Tier 2,Supermarket Type3,2180.495,14.6,3,True,False,1.0,0.5879385193007157,2157.711533985862,-0.8577513969588634,0.1644904621034377,7.687765700560121,2180.495,40
13.35,Low Fat,0.102511504,Dairy,230.6,1997,Small,Tier1,Supermarket Type1,3435.528,14.2,1,True,False,0.0,0.2801830341429074,2157.711533985862,1.4392732828839294,0.2606344996429664,8.142216938353288,3435.5279999999984,28
9.8,Low Fat,0.02681843,Meat,126.0,1987,High,Tier 3,Supermarket Type1,2150.534,6.9,1,True,False,2.0,0.10935116742930893,2157.711533985862,-0.24092798642765184,0.16219524635315719,7.673936355081979,2150.5340000000006,38
13.6,Low Fat,0.117818348,Snack Foods,192.9,1999,Medium,Tier 2,Supermarket Type1,2527.3768,14.5,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.8336940491071932,0.19106396001224116,7.835332794792717,2527.376799999999,26
21.35,Low Fat,0.069102831,Canned,259.9,2009,Medium,Tier 2,Supermarket Type2,6768.5228,12.4,2,True,False,1.0,0.5879385193007157,2157.711533985862,1.9099223956069629,0.5159645006630623,8.820185875977355,6768.522799999997,16
12.15,Regular,0.042277867,Canned,126.5,1987,High,Tier 3,Supermarket Type1,373.5138,14.3,1,False,True,2.0,0.10935116742930893,2224.561170126414,-0.23289643160302667,0.026063449964296645,5.925628651410538,373.51379999999995,38
6.42,Low Fat,0.089498926,Dairy,178.1,1998,Medium,  --,Grocery Store,358.2004,8.8,0,True,False,1.0,0.012788924087762525,2157.711533985862,0.5959600262982887,0.024890339691931045,5.88388045001317,358.2003999999999,27
19.6,Low Fat,0.0,Health and Hygiene,153.3,2002,Medium,Tier 2,Supermarket Type1,2428.8384,13.7,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.1975949069968815,0.18351525043354075,7.7955800320656214,2428.838400000001,23
10.0,Low Fat,0.025879577,Canned,265.2,2002,Medium,Tier 2,Supermarket Type1,5815.0972,12.8,1,True,False,1.0,0.5879385193007157,2157.711533985862,1.9950568767479897,0.4429256350096909,8.668384731590896,5815.097199999996,23
15.85,Regular,0.121632721,Baking Goods,60.6,1997,Small,Tier1,Supermarket Type1,2576.646,14.4,1,False,True,0.0,0.2801830341429074,2224.561170126414,-1.2914553574886214,0.19483831480159136,7.85463185832182,2576.646000000001,28
0.0,Regular,0.255394896,Dairy,196.9,1985,Small,Tier1,Grocery Store,780.3176,14.7,0,False,True,0.0,0.2801830341429074,2224.561170126414,0.8979464877041945,0.057227379373661125,6.66098172530728,780.3175999999999,40
7.39,Low Fat,0.067779712,Health and Hygiene,143.9,1997,Small,Tier1,Supermarket Type1,3134.5864,7.4,1,True,False,0.0,0.2801830341429074,2157.711533985862,0.04660167629392862,0.23758033255125982,8.050571485017242,3134.586400000001,28
10.195,Low Fat,0.159803853,Frozen Foods,141.5,1987,High,Tier 3,Supermarket Type1,850.8924,14.7,1,True,False,2.0,0.10935116742930893,2157.711533985862,0.008050213135727806,0.06263388758543303,6.747460227774114,850.8924,38
9.895,Regular,0.028696932,Canned,117.0,1987,High,Tier 3,Supermarket Type1,810.9444,11.2,1,False,True,2.0,0.10935116742930893,2224.561170126414,-0.3854959732709045,0.05957359991839233,6.699431864910897,810.9443999999997,38
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.4,2007,Medium,Tier 2,Supermarket Type1,3121.2704,14.7,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.8899149328795694,0.23656023666224624,8.04631570847155,3121.2704000000012,18
12.15,Low Fat,0.028760013,Household,151.5,2007,Medium,Tier 2,Supermarket Type1,4815.0656,13.0,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.1686813096282308,0.366316433744772,8.479712608158346,4815.065599999996,18
7.905,Low Fat,0.010053105,Snack Foods,249.0,2009,Medium,Tier 2,Supermarket Type2,6258.52,12.8,2,True,False,1.0,0.5879385193007157,2157.711533985862,1.7348345004301349,0.47689482811384276,8.741858783837994,6258.519999999998,16
9.195,Low Fat,0.048157338,Household,106.2,2002,Medium,Tier 2,Supermarket Type1,2117.244,14.4,1,True,False,1.0,0.5879385193007157,2157.711533985862,-0.5589775574828078,0.15964500663062328,7.658342722547712,2117.2439999999997,23
8.365,Low Fat,0.071958197,Hard Drinks,38.1,1999,Medium,Tier 2,Supermarket Type1,796.9626,14.8,1,True,False,1.0,0.5879385193007157,2157.711533985862,-1.6528753245967531,0.05850249923492808,6.682061729183589,796.9626000000002,26
15.1,Low Fat,0.173481304,Snack Foods,194.5,1997,Small,Tier1,Supermarket Type1,4910.275,14.4,1,True,False,0.0,0.2801830341429074,2157.711533985862,0.8593950245459937,0.37361011935121896,8.499288861213493,4910.275000000001,28
0.0,Low Fat,0.061082177,Canned,180.0,1985,Small,Tier1,Grocery Store,892.172,14.7,0,True,False,0.0,0.2801830341429074,2157.711533985862,0.6264799346318644,0.06579618484137509,6.794779171512263,892.1720000000004,40
10.0,Low Fat,0.0,Fruits and Vegetables,246.9,2009,Medium,Tier 2,Supermarket Type2,3185.1872,14.6,2,True,False,1.0,0.5879385193007157,2157.711533985862,1.7011019701667094,0.24145669692951136,8.066580245806012,3185.1872,16
7.97,Regular,0.040071131,Meat,138.5,2002,Medium,Tier 2,Supermarket Type1,1062.6168,14.4,1,False,True,1.0,0.5879385193007157,2224.561170126414,-0.04013911581202309,0.07885341222074875,6.969430454655927,1062.6167999999996,23
0.0,Low Fat,0.012090074,Fruits and Vegetables,38.3,1985,Medium,Tier 2,Supermarket Type3,484.7024,13.9,3,True,False,1.0,0.5879385193007157,2157.711533985862,-1.649662702666903,0.034581250637559936,6.185596090661295,484.7024000000002,40
0.0,Regular,0.15028599,Frozen Foods,51.1,1985,Small,Tier1,Grocery Store,147.8076,12.6,0,False,True,0.0,0.2801830341429074,2224.561170126414,-1.4440548991564994,0.00877282464551668,5.002654196363512,147.80760000000004,40
0.0,Low Fat,0.026015519,Snack Foods,255.8,1985,Medium,Tier 2,Supermarket Type3,2543.356,14.8,3,True,False,1.0,0.5879385193007157,2157.711533985862,1.8440636460450373,0.19228807507905743,7.841632851776647,2543.3559999999993,40
17.7,Low Fat,0.195068226,Snack Foods,185.4,1998,Medium,  --,Grocery Store,184.4266,14.6,0,True,False,1.0,0.012788924087762525,2157.711533985862,0.713220726737816,0.01157808834030399,5.222659116411064,184.42659999999992,27
19.35,Low Fat,0.033082215,Meat,172.6,2004,Small,Tier1,Supermarket Type1,4865.6664,14.2,1,True,False,0.0,0.2801830341429074,2157.711533985862,0.507612923227412,0.3701927981230236,8.490164464233796,4865.666400000001,21
13.65,Regular,0.078946455,Dairy,186.0,2002,Medium,Tier 2,Supermarket Type1,1118.544,14.3,1,False,True,1.0,0.5879385193007157,2224.561170126414,0.7228585925273662,0.08313781495460575,7.0206767385268405,1118.5439999999996,23
17.6,Low Fat,0.041700756,Soft Drinks,164.9,2002,Medium,Tier 2,Supermarket Type1,2302.3364,13.9,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.3839269789281849,0.17382433948791187,7.742113959496482,2302.3363999999997,23
8.645,Low Fat,0.143422643,Health and Hygiene,95.8,1997,Small,Tier1,Supermarket Type1,2027.361,14.5,1,True,False,0.0,0.2801830341429074,2157.711533985862,-0.7260338978350109,0.1527593593797817,7.614983356759096,2027.3609999999999,28
15.6,Regular,0.105296072,Snack Foods,170.2,1997,Small,Tier1,Supermarket Type1,3435.528,14.7,1,False,True,0.0,0.2801830341429074,2224.561170126414,0.46906146006921123,0.2606344996429664,8.142216938353288,3435.5279999999984,28
15.85,Regular,0.121531501,Baking Goods,59.2,1987,High,Tier 3,Supermarket Type1,599.22,13.3,1,False,True,2.0,0.10935116742930893,2224.561170126414,-1.3139437109975718,0.04335407528307662,6.397296254677018,599.2199999999998,38
18.25,Low Fat,0.0,Starchy Foods,164.8,2002,Medium,Tier 2,Supermarket Type1,4604.6728,14.4,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.38232066796326,0.3501989186983577,8.435044040080516,4604.672800000004,23
7.855,Low Fat,0.011324862,Canned,189.6,2007,Medium,Tier 2,Supermarket Type1,2285.0256,14.5,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.7806857872646671,0.1724982148321942,7.734570042892227,2285.0256000000004,18
7.825,Low Fat,0.186357148,Household,254.4,1999,Medium,Tier 2,Supermarket Type1,5580.7356,9.7,1,True,False,1.0,0.5879385193007157,2157.711533985862,1.8215752925360866,0.4249719473630521,8.627255046439146,5580.7356,26
8.39,Regular,0.024205661,Frozen Foods,114.0,1997,Small,Tier1,Supermarket Type1,2290.352,14.2,1,False,True,0.0,0.2801830341429074,2224.561170126414,-0.4336853022186554,0.17290625318779965,7.7368973153479965,2290.351999999999,28
12.85,Low Fat,0.033230816,Snack Foods,172.3,1999,Medium,Tier 2,Supermarket Type1,1207.0954,12.8,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.5027939903326372,0.08992145261654595,7.09680034888645,1207.0953999999997,26
0.0,Low Fat,0.113720344,Baking Goods,90.0,1985,Small,Tier1,Grocery Store,643.1628,10.6,0,True,False,0.0,0.2801830341429074,2157.711533985862,-0.8191999338006626,0.04672039171682138,6.467951489188129,643.1627999999998,40
19.0,Low Fat,0.112556507,Frozen Foods,105.0,2007,Medium,Tier 2,Supermarket Type1,1587.933,14.6,1,True,False,1.0,0.5879385193007157,2157.711533985862,-0.5782532890619081,0.11909619504233399,7.370818000764178,1587.9330000000004,18
5.905,Low Fat,0.0,Canned,222.5,2002,Medium,Tier 2,Supermarket Type1,5305.0944,13.9,1,True,False,1.0,0.5879385193007157,2157.711533985862,1.309162094725002,0.4038559624604713,8.57661132571922,5305.0944,23
7.76,Low Fat,0.059352241,Snack Foods,101.9,1997,Small,Tier1,Supermarket Type1,1697.79,13.6,1,True,False,0.0,0.2801830341429074,2157.711533985862,-0.628048928974584,0.1275119861266959,7.437671511913667,1697.7899999999995,28
11.8,Regular,0.014087057,Frozen Foods,180.3,1997,Small,Tier1,Supermarket Type1,1427.4752,13.9,1,False,True,0.0,0.2801830341429074,2224.561170126414,0.6312988675266396,0.10680403957972051,7.264362860652083,1427.4752000000005,28
16.75,Low Fat,0.045230944,Snack Foods,188.0,2009,Medium,Tier 2,Supermarket Type2,4693.89,12.7,2,True,False,1.0,0.5879385193007157,2157.711533985862,0.7549848118258667,0.35703356115474855,8.454229962187917,4693.8899999999985,16
0.0,Low Fat,0.293417759,Household,194.6,1985,Small,Tier1,Grocery Store,583.2408,14.1,0,True,False,0.0,0.2801830341429074,2157.711533985862,0.8610013355109186,0.04212996021626033,6.370313226611205,583.2408000000003,40
0.0,Regular,0.031382044,Baking Goods,171.4,1985,Medium,Tier 2,Supermarket Type3,3091.9752,13.4,3,False,True,1.0,0.5879385193007157,2224.561170126414,0.48833719164831185,0.23431602570641638,8.036888754547524,3091.975199999997,40
15.5,Regular,0.12639886,Fruits and Vegetables,177.0,2007,Medium,Tier 2,Supermarket Type1,2479.4392,14.3,1,False,True,1.0,0.5879385193007157,2224.561170126414,0.5782906056841134,0.18739161481179228,7.8161909202534385,2479.439199999999,18
6.055,Low Fat,0.025403898,Fruits and Vegetables,161.0,2004,Small,Tier1,Supermarket Type1,2716.464,14.7,1,True,False,0.0,0.2801830341429074,2157.711533985862,0.3212808512961086,0.2055493216362338,7.907454371437515,2716.4640000000004,21
0.0,Regular,0.039057677,Breakfast,156.0,1985,Medium,Tier 2,Supermarket Type3,3285.723,13.9,3,False,True,1.0,0.5879385193007157,2224.561170126414,0.24096530304985714,0.24915842089156381,8.097646298741116,3285.7230000000013,40
6.305,Regular,0.123115764,Snack Foods,95.6,1997,Small,Tier1,Supermarket Type1,661.8052,13.4,1,False,True,0.0,0.2801830341429074,2224.561170126414,-0.729246519764861,0.048148525961440376,6.496481131025555,661.8052000000001,28
20.85,Low Fat,0.039624006,Meat,117.3,1999,Medium,Tier 2,Supermarket Type1,1523.3504,14.0,1,True,False,1.0,0.5879385193007157,2157.711533985862,-0.3806770403761295,0.11414872998061819,7.329323631078592,1523.3503999999994,26
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.2,1998,Medium,Tier 2,Grocery Store,369.519,14.2,0,True,False,1.0,0.5879385193007157,2157.711533985862,-0.3019678030948029,0.025757421197592577,5.914904725472544,369.519,27
8.895,Low Fat,0.105274111,Dairy,39.9,1999,Medium,Tier 2,Supermarket Type1,690.4346,14.3,1,True,False,1.0,0.5879385193007157,2157.711533985862,-1.6239617272281024,0.05034173212281955,6.538768569625618,690.4345999999998,26
19.6,Low Fat,0.033970195,Soft Drinks,55.2,2002,Medium,  --,Supermarket Type1,1381.535,14.4,1,True,False,1.0,0.012788924087762525,2157.711533985862,-1.378196149594573,0.1032847087626237,7.23167404953173,1381.5349999999996,23
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.9,2004,Small,Tier1,Supermarket Type1,622.523,14.1,1,True,False,0.0,0.2801830341429074,2157.711533985862,-1.334825753541597,0.04513924308885035,6.4353856529722036,622.5229999999998,21
9.8,Low Fat,0.024378706,Health and Hygiene,114.5,2004,Small,Tier1,Supermarket Type1,1274.3412,13.3,1,True,False,0.0,0.2801830341429074,2157.711533985862,-0.4256537473940303,0.09507293685606448,7.150969029635072,1274.3412000000003,21
0.0,Low Fat,0.009714595,Frozen Foods,120.0,1985,Small,Tier1,Grocery Store,487.3656,13.6,0,True,False,0.0,0.2801830341429074,2157.711533985862,-0.3373066443231536,0.034785269815362646,6.1910643056855195,487.3655999999998,40
12.15,Low Fat,0.131383762,Frozen Foods,246.0,1999,Medium,Tier 2,Supermarket Type1,1231.73,14.6,1,True,False,1.0,0.5879385193007157,2157.711533985862,1.686645171482384,0.09180863001122105,7.116986501082949,1231.73,26
8.75,Regular,0.07461309,Fruits and Vegetables,187.5,2004,Small,Tier1,Supermarket Type1,3755.112,14.4,1,False,True,0.0,0.2801830341429074,2224.561170126414,0.7469532570012416,0.28511680097929204,8.231139658839913,3755.1119999999974,21
0.0,Low Fat,0.028459761,Household,150.0,1985,Medium,Tier 2,Supermarket Type3,4363.6532,13.8,3,True,False,1.0,0.5879385193007157,2157.711533985862,0.14458664515435535,0.33173518310721206,8.38129401494555,4363.653200000001,40
8.75,Regular,0.074627201,Fruits and Vegetables,187.9,1997,Small,Tier1,Supermarket Type1,1314.2892,14.4,1,False,True,0.0,0.2801830341429074,2224.561170126414,0.7533785008609418,0.09813322452310518,7.18181184438651,1314.2892,28
13.3,Low Fat,0.063695084,Frozen Foods,151.1,2002,Medium,Tier 2,Supermarket Type1,1805.6496,14.3,1,True,False,1.0,0.5879385193007157,2157.711533985862,0.16225606576853058,0.13577476282770579,7.499229359226499,1805.6496000000002,23
0.0,Regular,0.045797829,Snack Foods,178.5,1985,Medium,Tier 2,Supermarket Type3,2854.9504,11.2,3,False,True,1.0,0.5879385193007157,2224.561170126414,0.6023852701579889,0.21615831888197493,7.957159956361889,2854.9503999999997,40
8.31,Regular,0.115857223,Snack Foods,179.1,1999,Medium,Tier 2,Supermarket Type1,3896.2616,14.0,1,False,True,1.0,0.5879385193007157,2224.561170126414,0.612023135947539,0.29592981740283586,8.26802943164612,3896.2616000000025,26
16.75,Regular,0.024832806,Soft Drinks,38.8,1987,High,Tier 3,Supermarket Type1,667.7974,14.6,1,False,True,2.0,0.10935116742930893,2224.561170126414,-1.641631147842278,0.04860756911149649,6.505481174203127,667.7974000000003,38
19.75,Low Fat,0.034027909,Snack Foods,212.1,2009,Medium,Tier 2,Supermarket Type2,3185.853,14.2,2,True,False,1.0,0.5879385193007157,2157.711533985862,1.1421057543727988,0.24150770172396205,8.066789188471217,3185.8530000000014,16
17.1,Regular,0.0467696,Canned,141.2,1987,High,Tier 3,Supermarket Type1,2247.7408,13.7,1,False,True,2.0,0.10935116742930893,2224.561170126414,0.0032312802409525344,0.16964194634295623,7.718125694094618,2247.740800000001,38
10.5,Regular,0.116576702,Baking Goods,163.1,1987,High,Tier 3,Supermarket Type1,1794.331,12.6,1,False,True,2.0,0.10935116742930893,2224.561170126414,0.35501338155953416,0.13490768132204425,7.49294468503679,1794.3309999999997,38
6.635,Regular,0.0,Baking Goods,121.3,2002,Medium,Tier 2,Supermarket Type1,2530.7058,14.0,1,False,True,1.0,0.5879385193007157,2224.561170126414,-0.3164246017791283,0.19131898398449454,7.836648583780151,2530.7057999999997,23
0.0,Low Fat,0.278974075,Soft Drinks,225.4,1985,Small,Tier1,Grocery Store,679.116,14.5,0,True,False,0.0,0.2801830341429074,2157.711533985862,1.355745112707828,0.049474650617158014,6.522263371856928,679.116,40
14.15,Low Fat,0.035913805,Soft Drinks,41.4,1987,High,Tier 3,Supermarket Type1,812.276,14.1,1,True,False,2.0,0.10935116742930893,2157.711533985862,-1.599867062754227,0.059675609507293684,6.701070535331195,812.2759999999998,38
13.3,Low Fat,0.079806266,Dairy,232.5,1997,Small,Tier1,Supermarket Type1,699.09,14.5,1,True,False,0.0,0.2801830341429074,2157.711533985862,1.469793191217505,0.05100479445067837,6.551208898207379,699.0900000000001,28
8.89,Low Fat,0.005505481,Frozen Foods,102.4,2007,Medium,Tier 2,Supermarket Type1,2732.4432,14.3,1,True,False,1.0,0.5879385193007157,2157.711533985862,-0.6200173741499588,0.2067734367030501,7.913317338898384,2732.443200000001,18
0.0,Regular,0.064625342,Meat,176.9,1985,Small,Tier1,Grocery Store,176.437,11.0,0,False,True,0.0,0.2801830341429074,2224.561170126414,0.5766842947191885,0.01096603080689585,5.178615616335596,176.4370000000001,40
