,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,coordinates,latitude,longitude
33,33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,"12.9148603, 77.5206395",12.9148603,77.5206395
34,34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,125.0,"13.0060924, 77.65944979999999",13.0060924,77.65944979999999
35,35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,"12.8630149, 77.5312772",12.8630149,77.5312772
36,36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5,"12.8443486, 77.655912",12.8443486,77.655912
37,37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,"12.9689968, 77.72088529999999",12.9689968,77.72088529999999
38,38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12,"12.9120815, 77.5462476",12.9120815,77.5462476
39,39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0,"12.9069823, 77.552059",12.9069823,77.552059
40,40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0,"12.9562593, 77.6534629",12.9562593,77.6534629
41,41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,"12.910911, 77.6844166",12.910911,77.6844166
42,42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,"13.0205848, 77.5886738",13.0205848,77.5886738
43,43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0,"13.1154662, 77.6069977",13.1154662,77.6069977
44,44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,"12.8630149, 77.5312772",12.8630149,77.5312772
45,45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9.0,,200.0,"12.9121181, 77.6445548",12.9121181,77.6445548
46,46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,"12.8479159, 77.6528024",12.8479159,77.6528024
47,47,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,"12.9698196, 77.7499721",12.9698196,77.7499721
48,48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0,"13.0169992, 77.7044335",13.0169992,77.7044335
49,49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0,"12.8615722, 77.5931039",12.8615722,77.5931039
50,50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,"13.0336409, 77.609935",13.0336409,77.609935
51,51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,"12.9257252, 77.7002566",12.9257252,77.7002566
52,52,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,"12.9698196, 77.7499721",12.9698196,77.7499721
53,53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,"12.9578047, 77.7130364",12.9578047,77.7130364
54,54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,"13.1154662, 77.6069977",13.1154662,77.6069977
55,55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,"12.8889855, 77.6256714",12.8889855,77.6256714
56,56,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192.0,"13.2437197, 77.7172413",13.2437197,77.7172413
57,57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,"13.0445612, 77.57268839999999",13.0445612,77.57268839999999
58,58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0,"12.9562593, 77.6534629",12.9562593,77.6534629
59,59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0,"12.9693311, 77.5218127",12.9693311,77.5218127
60,60,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0,"13.1037041, 77.4809523",13.1037041,77.4809523
61,61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,"13.0205848, 77.5886738",13.0205848,77.5886738
62,62,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,"12.9698196, 77.7499721",12.9698196,77.7499721
63,63,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,"12.9388787, 77.7412047",12.9388787,77.7412047
64,64,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0,"12.9029804, 77.6241936",12.9029804,77.6241936
65,65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0,"12.8479159, 77.6528024",12.8479159,77.6528024
66,66,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,"12.921337, 77.73400459999999",12.921337,77.73400459999999
67,67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0,"12.956924, 77.701127",12.956924,77.701127
68,68,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7.0,0.0,85.0,"12.8919741, 77.6179588",12.8919741,77.6179588
69,69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68,"12.8630149, 77.5312772",12.8630149,77.5312772
70,70,Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3.0,2.0,100.0,"12.9571457, 77.5926046",12.9571457,77.5926046
71,71,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,"12.8889855, 77.6256714",12.8889855,77.6256714
72,72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,"13.0675728, 77.63355729999999",13.0675728,77.63355729999999
73,73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,"12.9041501, 77.6622042",12.9041501,77.6622042
74,74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,"13.0381291, 77.6480793",13.0381291,77.6480793
75,75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2.0,1.0,48.23,"12.8742275, 77.5773449",12.8742275,77.5773449
76,76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0,"12.8710738, 77.5934927",12.8710738,77.5934927
77,77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,"13.0358453, 77.5970433",13.0358453,77.5970433
78,78,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0,"13.0236542, 77.60804569999999",13.0236542,77.60804569999999
79,79,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0,"12.8984834, 77.55906449999999",12.8984834,77.55906449999999
80,80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,"13.0110221, 77.668645",13.0110221,77.668645
81,81,Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5,"13.0381291, 77.6480793",13.0381291,77.6480793
82,82,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,"13.1154662, 77.6069977",13.1154662,77.6069977
83,83,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8,"12.9878279, 77.70085089999999",12.9878279,77.70085089999999
84,84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,"12.9743773, 77.7151616",12.9743773,77.7151616
85,85,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0,"13.0675728, 77.63355729999999",13.0675728,77.63355729999999
86,86,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0,"12.8630149, 77.5312772",12.8630149,77.5312772
87,87,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,"13.0700786, 77.4291142",13.0700786,77.4291142
88,88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,"12.9093873, 77.6774428",12.9093873,77.6774428
89,89,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6.0,3.0,160.0,"12.9981732, 77.55304459999999",12.9981732,77.55304459999999
90,90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,"13.0369229, 77.57851339999999",13.0369229,77.57851339999999
91,91,Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,28.88,"12.8452145, 77.6601695",12.8452145,77.6601695
92,92,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2.0,2.0,70.0,"12.6094804, 77.0816847",12.6094804,77.0816847
93,93,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0,"12.8984834, 77.55906449999999",12.8984834,77.55906449999999
94,94,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,"13.0559193, 77.6324513",13.0559193,77.6324513
95,95,Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,90.0,"12.9609857, 77.6387316",12.9609857,77.6387316
96,96,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,"12.8996676, 77.4826837",12.8996676,77.4826837
97,97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2.0,1.0,48.0,"12.8585906, 77.7832134",12.8585906,77.7832134
98,98,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2.0,1.0,65.0,"12.9428958, 77.7366242",12.9428958,77.7366242
99,99,Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,90.0,"13.0507542, 77.5154276",13.0507542,77.5154276
100,100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,"13.0250302, 77.53402419999999",13.0250302,77.53402419999999
101,101,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,"12.8017099, 77.7116112",12.8017099,77.7116112
102,102,Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,"13.0551932, 77.6422206",13.0551932,77.6422206
103,103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,"12.9078332, 77.49098959999999",12.9078332,77.49098959999999
104,104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,"12.8822167, 77.6042056",12.8822167,77.6042056
105,105,Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,2.0,49.9,"13.0285133, 77.5196763",13.0285133,77.5196763
106,106,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2.0,1.0,98.0,"12.9719321, 77.512749",12.9719321,77.512749
107,107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,"12.9981732, 77.55304459999999",12.9981732,77.55304459999999
108,108,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,2.0,55.68,"13.0612203, 77.51926569999999",13.0612203,77.51926569999999
109,109,Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,"13.2437197, 77.7172413",13.2437197,77.7172413
110,110,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3.0,3.0,120.0,"12.9578269, 77.5981177",12.9578269,77.5981177
111,111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,"13.0597892, 77.5933367",13.0597892,77.5933367
112,112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,"12.9698196, 77.7499721",12.9698196,77.7499721
113,113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,"12.8452145, 77.6601695",12.8452145,77.6601695
114,114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0,"13.0084887, 77.6737028",13.0084887,77.6737028
115,115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,"12.910911, 77.6844166",12.910911,77.6844166
116,116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,"12.8996676, 77.4826837",12.8996676,77.4826837
117,117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75,"13.0559193, 77.6324513",13.0559193,77.6324513
118,118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0,"13.0055113, 77.5692358",13.0055113,77.5692358
119,119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3.0,3.0,23.0,"13.0381291, 77.6480793",13.0381291,77.6480793
120,120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,"13.0559193, 77.6324513",13.0559193,77.6324513
121,121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,"13.017294, 77.6815285",13.017294,77.6815285
122,122,Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,"13.0353557, 77.59878739999999",13.0353557,77.59878739999999
123,123,Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0,"13.0295386, 77.6127996",13.0295386,77.6127996
124,124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,"13.2437197, 77.7172413",13.2437197,77.7172413
125,125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0,"12.9908404, 77.7607805",12.9908404,77.7607805
126,126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,"12.9670714, 77.6704859",12.9670714,77.6704859
127,127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0,"12.8724102, 77.5339067",12.8724102,77.5339067
128,128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,"13.0326328, 77.6583345",13.0326328,77.6583345
129,129,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7.0,0.0,115.0,"12.8820179, 77.62476079999999",12.8820179,77.62476079999999
130,130,Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,"13.0285133, 77.5196763",13.0285133,77.5196763
131,131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,"12.8575579, 77.7864057",12.8575579,77.7864057
132,132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,"12.8452145, 77.6601695",12.8452145,77.6601695
133,133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0,"13.0001805, 77.6277853",13.0001805,77.6277853
134,134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,"12.890984, 77.6400098",12.890984,77.6400098
135,135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,"12.8630149, 77.5312772",12.8630149,77.5312772
136,136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,"13.2437197, 77.7172413",13.2437197,77.7172413
137,137,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,"12.8741077, 77.57917290000002",12.8741077,77.57917290000002
138,138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4,"12.8159214, 77.6793813",12.8159214,77.6793813
139,139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,"12.9544586, 77.5227546",12.9544586,77.5227546
140,140,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,250.0,"13.0381291, 77.6480793",13.0381291,77.6480793
141,141,Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,"13.1154662, 77.6069977",13.1154662,77.6069977
142,142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,"12.9093873, 77.6774428",12.9093873,77.6774428
143,143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0,"12.8984834, 77.55906449999999",12.8984834,77.55906449999999
144,144,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,"13.0249798, 77.6944104",13.0249798,77.6944104
145,145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0,"12.9639778, 77.49728739999999",12.9639778,77.49728739999999
146,146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0,"13.0551932, 77.6422206",13.0551932,77.6422206
147,147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,"12.9230523, 77.4846519",12.9230523,77.4846519
148,148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,"13.013146, 77.71301509999999",13.013146,77.71301509999999
149,149,Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5.0,,185.0,"13.0273646, 77.5970433",13.0273646,77.5970433
150,150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,"12.910397, 77.484109",12.910397,77.484109
151,151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,"13.027138, 77.760812",13.027138,77.760812
152,152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0,"12.8919741, 77.6179588",12.8919741,77.6179588
153,153,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0,"13.0549504, 77.58882489999999",13.0549504,77.58882489999999
154,154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,"12.8718155, 77.6021817",12.8718155,77.6021817
155,155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,"12.8441489, 77.6793813",12.8441489,77.6793813
156,156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0,"12.8710738, 77.5934927",12.8710738,77.5934927
157,157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,"13.0559193, 77.6324513",13.0559193,77.6324513
158,158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,"13.0559193, 77.6324513",13.0559193,77.6324513
159,159,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0,"13.0145937, 77.55140469999999",13.0145937,77.55140469999999
160,160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0,"12.8112145, 77.6693608",12.8112145,77.6693608
161,161,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,"12.8705558, 77.6557601",12.8705558,77.6557601
162,162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,"13.0220238, 77.6328499",13.0220238,77.6328499
163,163,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0,"12.9698196, 77.7499721",12.9698196,77.7499721
164,164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,"13.0130042, 77.5777031",13.0130042,77.5777031
165,165,Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,"12.8575579, 77.7864057",12.8575579,77.7864057
166,166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,"12.8586027, 77.6067314",12.8586027,77.6067314
167,167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,"12.8452145, 77.6601695",12.8452145,77.6601695
168,168,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,"12.8452145, 77.6601695",12.8452145,77.6601695
169,169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,"12.9922733, 77.57268839999999",12.9922733,77.57268839999999
170,170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,99.0,"13.063971, 77.63786189999999",13.063971,77.63786189999999
171,171,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,"12.778963, 77.7702029",12.778963,77.7702029
172,172,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,"12.8452145, 77.6601695",12.8452145,77.6601695
173,173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,"12.8452145, 77.6601695",12.8452145,77.6601695
174,174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,"12.9855332, 77.663772",12.9855332,77.663772
